Pickup Address,Pickup Latitude,Pickup Longitude,Drop Address,Drop Latitude,Drop Longitude,Time,Auto,Prime,Mini,Micro
L.I.G,22.7344,75.8903,Navlakha Sqaure,22.698,75.8683,Noon,96 - 106,190 - 210,141 - 155,114 - 126
L.I.G,22.7344,75.8903,Airport,22.7282,75.8044,Noon,171 - 187,298 - 328,209 - 229,173 - 191
L.I.G,22.7344,75.8903,MahaLaxmi Nagar,22.759,75.9129,Noon,64 - 58,136 - 150,116 - 128,84 - 92
L.I.G,22.7344,75.8903,Tilak Nagar,22.719,75.8972,Noon,51 - 55,133 - 147,114 - 126,82 - 90
L.I.G,22.7344,75.8903,Rau,22.6399,75.8033,Noon,226 - 248,570 - 628,392 - 432,304 - 334
Khajrana ,22.7322,75.9019,Raj Maholla,22.7149,75.8432,Noon,103 - 113,182 - 200,166 - 182,142 - 156
Khajrana ,22.7322,75.9019,Rajendra Nagar,22.6709,75.8275,Noon,171 - 187,285 - 313,220 - 242,176 - 194
Khajrana ,22.7322,75.9019,Teen Imli Sqaure,22.689,75.8846,Noon,71 - 77,151 - 165,138 - 152,117 - 129
Khajrana ,22.7322,75.9019,Pipliyahana,22.7056,75.9058,Noon,58 - 64,122 - 134,107 - 117,96 - 106
Khajrana ,22.7322,75.9019,Navlakha Sqaure,22.698,75.8683,Noon,89 - 97,136 - 150,132 - 144,119 - 131
Khajrana ,22.7322,75.9019,Airport,22.7282,75.8044,Noon,174 - 192,213 - 235,211 - 233,196 - 216
Khajrana ,22.7322,75.9019,MahaLaxmi Nagar,22.759,75.9129,Noon,40 - 44,113  - 123,116 - 128,93 - 101
Khajrana ,22.7322,75.9019,Tilak Nagar,22.719,75.8972,Noon,37 - 39,87 - 95,107 - 117,85 - 93
Khajrana ,22.7322,75.9019,Rau,22.6399,75.8033,Noon,249 - 275,532 - 586,426 - 470,330 - 364
Bhanwar Kuwa,22.6878,75.8665,Airport,22.7282,75.8044,Noon,142 - 156 ,180 - 198,157 - 173,143 - 157
